"name","split","acc_mean","acc_std","n_way","n_shot","n_query"
"s2_5_1","train","90.79333333333334","9.9824416222055","5","1","15"
"s2_5_1","val","74.28444444444445","13.827368816772832","5","1","15"
"s2_5_1","test","70.64222222222222","13.947499266982204","5","1","15"
"s2_5_5","train","96.57111111111111","5.059327530584317","5","5","15"
"s2_5_5","val","85.82222222222221","9.622401845898489","5","5","15"
"s2_5_5","test","86.75555555555555","8.663133182816129","5","5","15"
"s2_5_10","train","97.96666666666667","3.2739714245681633","5","10","15"
"s2_5_10","val","88.15777777777778","8.51501477058084","5","10","15"
"s2_5_10","test","88.29777777777778","7.839514976178591","5","10","15"
"s2_5_20","train","93.1888888888889","6.465396973480544","5","20","15"
"s2_5_20","val","90.91111111111113","7.277328230390569","5","20","15"
"s2_5_20","test","91.00222222222222","6.884657840462874","5","20","15"
"s2_5_30","train","94.72444444444444","5.669639307446571","5","30","15"
"s2_5_30","val","92.57777777777777","6.110909087569805","5","30","15"
"s2_5_30","test","91.03333333333333","6.815151964284898","5","30","15"
"s2_5_40","train","95.2088888888889","5.608135184436408","5","40","15"
"s2_5_40","val","91.62666666666667","6.509471162453585","5","40","15"
"s2_5_40","test","90.9511111111111","6.8880343556017944","5","40","15"
"s2_5_50","train","96.55777777777779","5.000740192125143","5","50","15"
"s2_5_50","val","91.52222222222221","6.758031344579648","5","50","15"
"s2_5_50","test","89.58222222222221","7.284502745343267","5","50","15"
"s2_5_70","train","95.34222222222223","5.400678512470608","5","70","15"
"s2_5_70","val","91.97777777777779","5.81284231701404","5","70","15"
"s2_5_70","test","91.15333333333334","6.925864566969239","5","70","15"
"s2_5_90","train","97.02","4.433497072999631","5","90","15"
"s2_5_90","val","91.86","6.06004155956902","5","90","15"
"s2_5_90","test","90.90222222222222","6.51954857181438","5","90","15"
