"name","split","acc_mean","acc_std","n_way","n_shot","n_query"
"s2_5_1","train","95.33111111111111","6.880998707300893","5","1","15"
"s2_5_1","val","75.11333333333333","13.124776118020002","5","1","15"
"s2_5_1","test","74.81333333333333","13.276181958959715","5","1","15"
"s2_5_5","train","98.08666666666667","3.679559152338165","5","5","15"
"s2_5_5","val","87.22666666666667","8.87846499912799","5","5","15"
"s2_5_5","test","84.31555555555555","9.611473596247249","5","5","15"
"s2_5_10","train","98.36444444444446","3.146390446131276","5","10","15"
"s2_5_10","val","88.33111111111111","8.184899978272247","5","10","15"
"s2_5_10","test","87.28","8.508129445810441","5","10","15"
"s2_5_20","train","98.62","2.6478586736371628","5","20","15"
"s2_5_20","val","89.54","7.709654361277837","5","20","15"
"s2_5_20","test","89.94666666666667","7.631327247311281","5","20","15"
"s2_5_30","train","98.72888888888887","2.5325690855018164","5","30","15"
"s2_5_30","val","91.22222222222221","6.290223651051441","5","30","15"
"s2_5_30","test","89.71555555555555","7.566141603580528","5","30","15"
"s2_5_40","train","98.41333333333333","3.0259813223090064","5","40","15"
"s2_5_40","val","90.58444444444446","6.985427865860173","5","40","15"
"s2_5_40","test","88.94222222222221","7.808138837057487","5","40","15"
"s2_5_50","train","91.27111111111113","6.8794257584068825","5","50","15"
"s2_5_50","val","86.98222222222222","7.7742963636986016","5","50","15"
"s2_5_50","test","87.21333333333334","7.889822792921506","5","50","15"
"s2_5_70","train","98.64222222222222","2.5032117640747993","5","70","15"
"s2_5_70","val","92.35333333333334","5.759852107154862","5","70","15"
"s2_5_70","test","91.21333333333334","6.913034387622013","5","70","15"
"s2_5_90","train","96.00888888888888","4.831983975118552","5","90","15"
"s2_5_90","val","90.32666666666667","6.476849943080756","5","90","15"
"s2_5_90","test","91.11333333333333","6.387410070396876","5","90","15"
