"name","split","acc_mean","acc_std","n_way","n_shot","n_query"
"s2_10_5","train","98.59555555555556","2.0564574597959995","10","5","15"
"s2_10_5","val","76.24666666666667","7.065401354225838","10","5","15"
"s2_10_5","test","70.97333333333333","7.605506776890896","10","5","15"
"s2_20_5","train","95.91611111111112","2.686281966300102","20","5","15"
"s2_20_5","val","64.75222222222222","5.193380283152015","20","5","15"
"s2_20_5","test","62.178333333333335","5.05684840001564","20","5","15"
"s2_30_5","train","87.2537037037037","3.277532424380717","30","5","15"
"s2_30_5","val","57.64185185185185","3.556441074143447","30","5","15"
"s2_30_5","test","54.17333333333333","3.246891010577334","30","5","15"
"s2_40_5","train","87.28916666666667","2.3520564780476496","40","5","15"
"s2_40_5","val","51.77207977207977","2.1232546151208096","40","5","15"
"s2_40_5","test","48.3104938271605","2.4468851607274384","40","5","15"
"s2_50_5","train","2","0","50","5","15"
"s2_50_5","val","2.5641025641025634","4.440892098500626e-16","50","5","15"
"s2_50_5","test","2.777777777777778","4.440892098500626e-16","50","5","15"
