"name","split","acc_mean","acc_std","n_way","n_shot","n_query"
"s2_5_1","train","92.09333333333333","9.225899133136826","5","1","15"
"s2_5_1","val","81.38","12.343991190798807","5","1","15"
"s2_5_1","test","81.15333333333334","11.620679523702243","5","1","15"
"s2_5_5","train","98.34222222222222","2.7576013910822508","5","5","15"
"s2_5_5","val","89.22888888888889","7.458193274083226","5","5","15"
"s2_5_5","test","89.3","7.53355456902281","5","5","15"
"s2_5_10","train","96.88222222222221","4.423612846676792","5","10","15"
"s2_5_10","val","89.88888888888889","7.347427533363273","5","10","15"
"s2_5_10","test","90.40666666666667","7.017899865238784","5","10","15"
"s2_5_20","train","99.1088888888889","1.832220537698841","5","20","15"
"s2_5_20","val","90.03111111111112","7.1949927718972955","5","20","15"
"s2_5_20","test","91.3711111111111","6.571660443727622","5","20","15"
"s2_5_30","train","97.60222222222221","3.5820947040992377","5","30","15"
"s2_5_30","val","92.39555555555556","5.964138094467343","5","30","15"
"s2_5_30","test","89.77333333333333","7.0638694673565325","5","30","15"
"s2_5_40","train","98.33111111111111","2.6738782117662026","5","40","15"
"s2_5_40","val","91.22444444444446","6.221586872324179","5","40","15"
"s2_5_40","test","90.68222222222221","6.371910192883517","5","40","15"
"s2_5_50","train","98.15555555555557","2.9068671354587012","5","50","15"
"s2_5_50","val","91.33777777777779","5.906429223552884","5","50","15"
"s2_5_50","test","89.93777777777777","6.980330743163295","5","50","15"
"s2_5_70","train","98.78222222222222","2.3013640614231106","5","70","15"
"s2_5_70","val","91.54666666666667","6.049337888470845","5","70","15"
"s2_5_70","test","90.39333333333333","7.023723819762299","5","70","15"
"s2_5_90","train","99.14888888888889","1.8828806404477259","5","90","15"
"s2_5_90","val","91.75555555555556","5.746711351549224","5","90","15"
"s2_5_90","test","89.97333333333333","6.883530532553235","5","90","15"
