"name","split","acc_mean","acc_std","n_way","n_shot","n_query"
"s2_10_5","train","95.90111111111112","3.2623325367360883","10","5","15"
"s2_10_5","val","81.53888888888889","6.246537312388499","10","5","15"
"s2_10_5","test","82.32666666666667","6.416987870748497","10","5","15"
"s2_20_5","train","90.12444444444445","3.835950153514369","20","5","15"
"s2_20_5","val","71.16111111111111","4.930176041732094","20","5","15"
"s2_20_5","test","71.80666666666667","4.550094830106617","20","5","15"
"s2_30_5","train","89.31888888888888","2.8539837870580342","30","5","15"
"s2_30_5","val","65.48","3.2951222212043816","30","5","15"
"s2_30_5","test","64.37407407407409","2.9990373398319745","30","5","15"
"s2_40_5","train","88.62138888888889","2.2392202504994683","40","5","15"
"s2_40_5","val","60.570085470085466","2.0830594750239846","40","5","15"
"s2_40_5","test","61.44907407407406","2.0745235541396934","40","5","15"
"s2_50_5","train","88.018","1.5713553008411183","50","5","15"
"s2_50_5","val","59.295726495726484","2.0517017614302975","50","5","15"
"s2_50_5","test","61.10432098765432","2.2534735841884115","50","5","15"
