"name","class","split","acc_mean","acc_std","n_way","n_shot","n_query"
"tabula-muris_relationnet_fc-diff_mean_10_05","s2_10_5","train","94.85222222222221","3.841153215466856","10","5","15"
"tabula-muris_relationnet_fc-diff_mean_10_05","s2_10_5","val","75.69888888888889","7.144363141061492","10","5","15"
"tabula-muris_relationnet_fc-diff_mean_10_05","s2_10_5","test","73.74444444444444","7.388370909162454","10","5","15"
"tabula-muris_relationnet_fc-diff_mean_20_05","s2_20_5","train","94.91611111111112","2.6510304891345555","20","5","15"
"tabula-muris_relationnet_fc-diff_mean_20_05","s2_20_5","val","62.39722222222221","4.972609389023279","20","5","15"
"tabula-muris_relationnet_fc-diff_mean_20_05","s2_20_5","test","59.332222222222214","5.075759263279281","20","5","15"
"tabula-muris_relationnet_fc-diff_mean_30_05","s2_30_5","train","91.76037037037038","2.659640718539758","30","5","15"
"tabula-muris_relationnet_fc-diff_mean_30_05","s2_30_5","val","47.642962962962955","3.3639969042000866","30","5","15"
"tabula-muris_relationnet_fc-diff_mean_30_05","s2_30_5","test","46.52444444444444","3.1184073174508273","30","5","15"
"tabula-muris_relationnet_fc-diff_mean_40_05","s2_40_5","train","92.5813888888889","1.8989509571482703","40","5","15"
"tabula-muris_relationnet_fc-diff_mean_40_05","s2_40_5","val","52.186039886039886","2.083660864993047","40","5","15"
"tabula-muris_relationnet_fc-diff_mean_40_05","s2_40_5","test","51.3358024691358","2.2967529082725213","40","5","15"
"tabula-muris_relationnet_fc-diff_mean_50_05","s2_50_5","train","91.83","1.352042350859809","50","5","15"
"tabula-muris_relationnet_fc-diff_mean_50_05","s2_50_5","val","47.79401709401709","2.121249574880459","50","5","15"
"tabula-muris_relationnet_fc-diff_mean_50_05","s2_50_5","test","47.343518518518515","2.2250956859456816","50","5","15"
