"name","class","split","acc_mean","acc_std","n_way","n_shot","n_query"
"tabula-muris_relationnet_fc-diff_mean_05_01","s2_5_1","train","92.45111111111112","8.194364519384235","5","1","15"
"tabula-muris_relationnet_fc-diff_mean_05_01","s2_5_1","val","76.3488888888889","13.480072352078974","5","1","15"
"tabula-muris_relationnet_fc-diff_mean_05_01","s2_5_1","test","75.3111111111111","12.228180365930509","5","1","15"
"tabula-muris_relationnet_fc-diff_mean_05_05","s2_5_5","train","96.95111111111112","4.127843427023934","5","5","15"
"tabula-muris_relationnet_fc-diff_mean_05_05","s2_5_5","val","86.54222222222222","9.548127345321133","5","5","15"
"tabula-muris_relationnet_fc-diff_mean_05_05","s2_5_5","test","83.60666666666667","9.69899345674973","5","5","15"
"tabula-muris_relationnet_fc-diff_mean_05_10","s2_5_10","train","96.68666666666667","4.263841078269774","5","10","15"
"tabula-muris_relationnet_fc-diff_mean_05_10","s2_5_10","val","87.45333333333333","8.586145601857465","5","10","15"
"tabula-muris_relationnet_fc-diff_mean_05_10","s2_5_10","test","84.87555555555555","8.631256435439802","5","10","15"
"tabula-muris_relationnet_fc-diff_mean_05_20","s2_5_20","train","98.34222222222222","2.75974949659396","5","20","15"
"tabula-muris_relationnet_fc-diff_mean_05_20","s2_5_20","val","87.13333333333334","8.657858772151377","5","20","15"
"tabula-muris_relationnet_fc-diff_mean_05_20","s2_5_20","test","86.01777777777778","8.296343386109747","5","20","15"
"tabula-muris_relationnet_fc-diff_mean_05_30","s2_5_30","train","96.71555555555555","3.9989603587204128","5","30","15"
"tabula-muris_relationnet_fc-diff_mean_05_30","s2_5_30","val","89","7.556699259842469","5","30","15"
"tabula-muris_relationnet_fc-diff_mean_05_30","s2_5_30","test","84.37111111111112","8.772434660716671","5","30","15"
"tabula-muris_relationnet_fc-diff_mean_05_40","s2_5_40","train","97.89555555555556","2.8012263628279794","5","40","15"
"tabula-muris_relationnet_fc-diff_mean_05_40","s2_5_40","val","87.58","7.9108860766995335","5","40","15"
"tabula-muris_relationnet_fc-diff_mean_05_40","s2_5_40","test","83.55555555555556","8.912634948677919","5","40","15"
"tabula-muris_relationnet_fc-diff_mean_05_50","s2_5_50","train","96.94666666666667","3.8947409936229924","5","50","15"
"tabula-muris_relationnet_fc-diff_mean_05_50","s2_5_50","val","87.95555555555556","8.110958902681462","5","50","15"
"tabula-muris_relationnet_fc-diff_mean_05_50","s2_5_50","test","85.77111111111113","7.964052259689268","5","50","15"
"tabula-muris_relationnet_fc-diff_mean_05_70","s2_5_70","train","97.87111111111112","2.9626781344579203","5","70","15"
"tabula-muris_relationnet_fc-diff_mean_05_70","s2_5_70","val","88.73333333333333","7.06299695072325","5","70","15"
"tabula-muris_relationnet_fc-diff_mean_05_70","s2_5_70","test","84.62","7.809066904946194","5","70","15"
"tabula-muris_relationnet_fc-diff_mean_05_90","s2_5_90","train","97.50666666666666","3.300217725701903","5","90","15"
"tabula-muris_relationnet_fc-diff_mean_05_90","s2_5_90","val","88.41555555555557","6.979062514424621","5","90","15"
"tabula-muris_relationnet_fc-diff_mean_05_90","s2_5_90","test","83.42","8.494262115621869","5","90","15"
