"name","split","acc_mean","acc_std","n_way","n_shot","n_query"
"s2_5_1","train","94.15777777777778","8.056761289074899","5","1","15"
"s2_5_1","val","80.98888888888888","11.992461623973169","5","1","15"
"s2_5_1","test","80.32444444444445","11.775992317496152","5","1","15"
"s2_5_5","train","97.40444444444445","3.6132649986704943","5","5","15"
"s2_5_5","val","88.31555555555555","7.742598536587406","5","5","15"
"s2_5_5","test","86.43777777777777","8.443856997110641","5","5","15"
"s2_5_10","train","98.42666666666666","2.6502606440653116","5","10","15"
"s2_5_10","val","89.63111111111112","7.268006672235128","5","10","15"
"s2_5_10","test","89.24666666666667","7.3111715634109995","5","10","15"
"s2_5_20","train","98.52","2.5314261827117375","5","20","15"
"s2_5_20","val","89.96444444444445","7.353421644142489","5","20","15"
"s2_5_20","test","89.98888888888888","6.723305697807652","5","20","15"
"s2_5_30","train","98.44888888888889","2.775551107549145","5","30","15"
"s2_5_30","val","91.54888888888888","6.512055676650998","5","30","15"
"s2_5_30","test","87.85111111111112","7.782509988968537","5","30","15"
"s2_5_40","train","98.21555555555555","2.7413531848250816","5","40","15"
"s2_5_40","val","90.32666666666667","6.467235942869315","5","40","15"
"s2_5_40","test","88.92","7.147201472526775","5","40","15"
"s2_5_50","train","98.01777777777778","2.902817703074713","5","50","15"
"s2_5_50","val","90.2911111111111","6.591891390091727","5","50","15"
"s2_5_50","test","88.78","6.842495754339066","5","50","15"
"s2_5_70","train","98.03555555555556","3.0128482074256007","5","70","15"
"s2_5_70","val","91.00666666666666","6.2652445194811754","5","70","15"
"s2_5_70","test","88.86222222222223","6.6855495540386345","5","70","15"
"s2_5_90","train","98.65333333333334","2.396256339468806","5","90","15"
"s2_5_90","val","90.7688888888889","6.55969135076369","5","90","15"
"s2_5_90","test","89.52666666666667","6.681846052302214","5","90","15"
