"name","split","acc_mean","acc_std","n_way","n_shot","n_query"
"s2_10_5","train","97.95555555555556","2.293199823848494","10","5","15"
"s2_10_5","val","79.75333333333333","6.37656937835989","10","5","15"
"s2_10_5","test","78.84555555555556","6.8784041179532736","10","5","15"
"s2_20_5","train","97.04888888888888","1.9120036675412937","20","5","15"
"s2_20_5","val","68.63277777777778","4.909039249998385","20","5","15"
"s2_20_5","test","68.62222222222222","4.25182604199161","20","5","15"
"s2_30_5","train","94.3774074074074","2.054812645196324","30","5","15"
"s2_30_5","val","62.36777777777779","3.273406815699809","30","5","15"
"s2_30_5","test","61.28666666666667","2.9153141837756458","30","5","15"
"s2_40_5","train","91.47611111111112","1.889342347530707","40","5","15"
"s2_40_5","val","57.61566951566951","2.030610447010909","40","5","15"
"s2_40_5","test","57.949074074074076","2.1206146417062937","40","5","15"
"s2_50_5","train","91.38511111111112","1.346606360952608","50","5","15"
"s2_50_5","val","57.582051282051275","2.1195017059282546","50","5","15"
"s2_50_5","test","57.86203703703704","2.3173416455586584","50","5","15"
