"timestamp", "dataset", "name", "split", "acc_mean", "acc_std", "n_way", "n_shot", "n_query"
20231208-225716,tabula_muris,protonet_5w_1s,train,92.09333333333333,9.225899133136826,5,1,15
20231208-225716,tabula_muris,protonet_5w_1s,val,81.38,12.343991190798807,5,1,15
20231208-225716,tabula_muris,protonet_5w_1s,test,81.15333333333334,11.620679523702243,5,1,15
20231208-230011,tabula_muris,protonet_5w_5s,train,98.34222222222222,2.7576013910822508,5,5,15
20231208-230011,tabula_muris,protonet_5w_5s,val,89.22888888888889,7.458193274083226,5,5,15
20231208-230011,tabula_muris,protonet_5w_5s,test,89.3,7.53355456902281,5,5,15
20231208-230306,tabula_muris,protonet_5w_10s,train,96.88222222222221,4.423612846676792,5,10,15
20231208-230306,tabula_muris,protonet_5w_10s,val,89.88888888888889,7.347427533363273,5,10,15
20231208-230306,tabula_muris,protonet_5w_10s,test,90.40666666666667,7.017899865238784,5,10,15
20231208-230603,tabula_muris,protonet_5w_20s,train,99.1088888888889,1.832220537698841,5,20,15
20231208-230603,tabula_muris,protonet_5w_20s,val,90.03111111111112,7.1949927718972955,5,20,15
20231208-230603,tabula_muris,protonet_5w_20s,test,91.3711111111111,6.571660443727622,5,20,15
20231208-230900,tabula_muris,protonet_5w_30s,train,97.60222222222221,3.5820947040992377,5,30,15
20231208-230900,tabula_muris,protonet_5w_30s,val,92.39555555555556,5.964138094467343,5,30,15
20231208-230900,tabula_muris,protonet_5w_30s,test,89.77333333333333,7.0638694673565325,5,30,15
20231208-231152,tabula_muris,protonet_5w_40s,train,98.33111111111111,2.6738782117662026,5,40,15
20231208-231152,tabula_muris,protonet_5w_40s,val,91.22444444444446,6.221586872324179,5,40,15
20231208-231152,tabula_muris,protonet_5w_40s,test,90.68222222222221,6.371910192883517,5,40,15
20231208-231443,tabula_muris,protonet_5w_50s,train,98.15555555555557,2.9068671354587012,5,50,15
20231208-231443,tabula_muris,protonet_5w_50s,val,91.33777777777779,5.906429223552884,5,50,15
20231208-231443,tabula_muris,protonet_5w_50s,test,89.93777777777777,6.980330743163295,5,50,15
20231208-231741,tabula_muris,protonet_5w_70s,train,98.78222222222222,2.3013640614231106,5,70,15
20231208-231741,tabula_muris,protonet_5w_70s,val,91.54666666666667,6.049337888470845,5,70,15
20231208-231741,tabula_muris,protonet_5w_70s,test,90.39333333333333,7.023723819762299,5,70,15
20231208-232047,tabula_muris,protonet_5w_90s,train,99.14888888888889,1.8828806404477259,5,90,15
20231208-232047,tabula_muris,protonet_5w_90s,val,91.75555555555556,5.746711351549224,5,90,15
20231208-232047,tabula_muris,protonet_5w_90s,test,89.97333333333333,6.883530532553235,5,90,15
20231208-232341,tabula_muris,protonet_10w_5s,train,95.90111111111112,3.2623325367360883,10,5,15
20231208-232341,tabula_muris,protonet_10w_5s,val,81.53888888888889,6.246537312388499,10,5,15
20231208-232341,tabula_muris,protonet_10w_5s,test,82.32666666666667,6.416987870748497,10,5,15
20231208-232643,tabula_muris,protonet_20w_5s,train,90.12444444444445,3.835950153514369,20,5,15
20231208-232643,tabula_muris,protonet_20w_5s,val,71.16111111111111,4.930176041732094,20,5,15
20231208-232643,tabula_muris,protonet_20w_5s,test,71.80666666666667,4.550094830106617,20,5,15
20231208-233001,tabula_muris,protonet_30w_5s,train,89.31888888888888,2.8539837870580342,30,5,15
20231208-233001,tabula_muris,protonet_30w_5s,val,65.48,3.2951222212043816,30,5,15
20231208-233001,tabula_muris,protonet_30w_5s,test,64.37407407407409,2.9990373398319745,30,5,15
20231208-233258,tabula_muris,protonet_40w_5s,train,88.62138888888889,2.2392202504994683,40,5,15
20231208-233258,tabula_muris,protonet_40w_5s,val,60.570085470085466,2.0830594750239846,40,5,15
20231208-233258,tabula_muris,protonet_40w_5s,test,61.44907407407406,2.0745235541396934,40,5,15
20231208-233624,tabula_muris,protonet_50w_5s,train,88.018,1.5713553008411183,50,5,15
20231208-233624,tabula_muris,protonet_50w_5s,val,59.295726495726484,2.0517017614302975,50,5,15
20231208-233624,tabula_muris,protonet_50w_5s,test,61.10432098765432,2.2534735841884115,50,5,15
20231208-233941,tabula_muris,matchingnet_5w_1s,train,95.33111111111111,6.880998707300893,5,1,15
20231208-233941,tabula_muris,matchingnet_5w_1s,val,75.11333333333333,13.124776118020002,5,1,15
20231208-233941,tabula_muris,matchingnet_5w_1s,test,74.81333333333333,13.276181958959715,5,1,15
20231208-234342,tabula_muris,matchingnet_5w_5s,train,98.08666666666667,3.679559152338165,5,5,15
20231208-234342,tabula_muris,matchingnet_5w_5s,val,87.22666666666667,8.87846499912799,5,5,15
20231208-234342,tabula_muris,matchingnet_5w_5s,test,84.31555555555555,9.611473596247249,5,5,15
