timestamp,dataset,name,split,acc_mean,acc_std,n_way,n_shot,n_query,learning_rate,backbone_weight_decay,backbone_dropout
20231211-002327,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_4lf_0.01lr_0.0bbwd_0.0do,train,82.44444444444444,10.107178722492003,5,5,15,0.01,0.0,0.0
20231211-002327,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_4lf_0.01lr_0.0bbwd_0.0do,val,56.14,11.402713777056825,5,5,15,0.01,0.0,0.0
20231211-002327,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_4lf_0.01lr_0.0bbwd_0.0do,test,43.308888888888895,8.014394149294564,5,5,15,0.01,0.0,0.0
20231211-002641,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_4lf_0.01lr_0.0bbwd_0.1do,train,79.31555555555555,10.653032026518305,5,5,15,0.01,0.0,0.1
20231211-002641,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_4lf_0.01lr_0.0bbwd_0.1do,val,56.65777777777779,11.941334789009554,5,5,15,0.01,0.0,0.1
20231211-002641,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_4lf_0.01lr_0.0bbwd_0.1do,test,43.717777777777776,7.508635686763822,5,5,15,0.01,0.0,0.1
20231211-002951,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_4lf_0.01lr_0.0bbwd_0.2do,train,67.87111111111112,11.575759261021966,5,5,15,0.01,0.0,0.2
20231211-002951,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_4lf_0.01lr_0.0bbwd_0.2do,val,51.14888888888889,11.283356255789396,5,5,15,0.01,0.0,0.2
20231211-002951,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_4lf_0.01lr_0.0bbwd_0.2do,test,45.85111111111111,8.693721588694245,5,5,15,0.01,0.0,0.2
20231211-003303,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_4lf_0.01lr_0.001bbwd_0.0do,train,65.88444444444444,11.25245564420013,5,5,15,0.01,0.001,0.0
20231211-003303,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_4lf_0.01lr_0.001bbwd_0.0do,val,50.49555555555556,10.514627318850676,5,5,15,0.01,0.001,0.0
20231211-003303,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_4lf_0.01lr_0.001bbwd_0.0do,test,44.937777777777775,7.845771370302714,5,5,15,0.01,0.001,0.0
20231211-003616,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_4lf_0.01lr_0.001bbwd_0.1do,train,60.086666666666666,11.334178399866484,5,5,15,0.01,0.001,0.1
20231211-003616,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_4lf_0.01lr_0.001bbwd_0.1do,val,56.32444444444445,10.985576177452746,5,5,15,0.01,0.001,0.1
20231211-003616,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_4lf_0.01lr_0.001bbwd_0.1do,test,42.58,7.387770675620323,5,5,15,0.01,0.001,0.1
20231211-003927,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_4lf_0.01lr_0.001bbwd_0.2do,train,59.28222222222222,11.21759442533728,5,5,15,0.01,0.001,0.2
20231211-003927,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_4lf_0.01lr_0.001bbwd_0.2do,val,53.477777777777774,10.924652154249946,5,5,15,0.01,0.001,0.2
20231211-003927,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_4lf_0.01lr_0.001bbwd_0.2do,test,44.08888888888889,8.856608051214614,5,5,15,0.01,0.001,0.2
20231211-004241,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_4lf_0.001lr_0.0bbwd_0.0do,train,79.54666666666667,10.769317183210484,5,5,15,0.001,0.0,0.0
20231211-004241,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_4lf_0.001lr_0.0bbwd_0.0do,val,60.46444444444445,10.268138182182545,5,5,15,0.001,0.0,0.0
20231211-004241,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_4lf_0.001lr_0.0bbwd_0.0do,test,50.84444444444445,8.037934751024569,5,5,15,0.001,0.0,0.0
20231211-004553,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_4lf_0.001lr_0.0bbwd_0.1do,train,79.3,10.663280712592892,5,5,15,0.001,0.0,0.1
20231211-004553,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_4lf_0.001lr_0.0bbwd_0.1do,val,56.93777777777779,10.453593156257002,5,5,15,0.001,0.0,0.1
20231211-004553,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_4lf_0.001lr_0.0bbwd_0.1do,test,44.013333333333335,7.434442368687334,5,5,15,0.001,0.0,0.1
20231211-004906,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_4lf_0.001lr_0.0bbwd_0.2do,train,77.65555555555557,10.95038755726577,5,5,15,0.001,0.0,0.2
20231211-004906,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_4lf_0.001lr_0.0bbwd_0.2do,val,53.86888888888889,10.67502427209777,5,5,15,0.001,0.0,0.2
20231211-004906,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_4lf_0.001lr_0.0bbwd_0.2do,test,45.19555555555556,8.486257881982269,5,5,15,0.001,0.0,0.2
20231211-005218,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_4lf_0.001lr_0.001bbwd_0.0do,train,81.00222222222222,9.528436711908176,5,5,15,0.001,0.001,0.0
20231211-005218,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_4lf_0.001lr_0.001bbwd_0.0do,val,57.28444444444445,11.206240765696828,5,5,15,0.001,0.001,0.0
20231211-005218,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_4lf_0.001lr_0.001bbwd_0.0do,test,48.71555555555556,7.455784397878893,5,5,15,0.001,0.001,0.0
20231211-005531,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_4lf_0.001lr_0.001bbwd_0.1do,train,79.84,10.114508830827571,5,5,15,0.001,0.001,0.1
20231211-005531,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_4lf_0.001lr_0.001bbwd_0.1do,val,60.02888888888888,11.776274746862024,5,5,15,0.001,0.001,0.1
20231211-005531,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_4lf_0.001lr_0.001bbwd_0.1do,test,45.88444444444444,7.949375625764968,5,5,15,0.001,0.001,0.1
20231211-005830,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_4lf_0.001lr_0.001bbwd_0.2do,train,78.27111111111113,10.532657268505535,5,5,15,0.001,0.001,0.2
20231211-005830,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_4lf_0.001lr_0.001bbwd_0.2do,val,57.54888888888888,11.709232613415011,5,5,15,0.001,0.001,0.2
20231211-005830,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_4lf_0.001lr_0.001bbwd_0.2do,test,47.29555555555555,7.205248772703356,5,5,15,0.001,0.001,0.2
20231211-010132,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_4lf_0.0001lr_0.0bbwd_0.0do,train,88.95111111111112,7.717741625791132,5,5,15,0.0001,0.0,0.0
20231211-010132,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_4lf_0.0001lr_0.0bbwd_0.0do,val,56.24666666666667,11.480671679924576,5,5,15,0.0001,0.0,0.0
20231211-010132,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_4lf_0.0001lr_0.0bbwd_0.0do,test,49.337777777777774,8.139158812361355,5,5,15,0.0001,0.0,0.0
20231211-010430,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_4lf_0.0001lr_0.0bbwd_0.1do,train,82.11777777777779,9.867164902335247,5,5,15,0.0001,0.0,0.1
20231211-010430,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_4lf_0.0001lr_0.0bbwd_0.1do,val,55.371111111111105,11.429075116766507,5,5,15,0.0001,0.0,0.1
20231211-010430,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_4lf_0.0001lr_0.0bbwd_0.1do,test,47.373333333333335,8.365265044172794,5,5,15,0.0001,0.0,0.1
20231211-010730,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_4lf_0.0001lr_0.0bbwd_0.2do,train,76.59777777777778,11.023530164332595,5,5,15,0.0001,0.0,0.2
20231211-010730,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_4lf_0.0001lr_0.0bbwd_0.2do,val,54.67333333333333,10.208926377331643,5,5,15,0.0001,0.0,0.2
20231211-010730,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_4lf_0.0001lr_0.0bbwd_0.2do,test,45.291111111111114,8.036656451135649,5,5,15,0.0001,0.0,0.2
20231211-011030,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_4lf_0.0001lr_0.001bbwd_0.0do,train,86.59555555555556,9.09444980655513,5,5,15,0.0001,0.001,0.0
20231211-011030,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_4lf_0.0001lr_0.001bbwd_0.0do,val,56.168888888888894,10.789071745789924,5,5,15,0.0001,0.001,0.0
20231211-011030,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_4lf_0.0001lr_0.001bbwd_0.0do,test,44.62222222222223,7.291869309353491,5,5,15,0.0001,0.001,0.0
20231211-011330,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_4lf_0.0001lr_0.001bbwd_0.1do,train,80.73777777777778,10.112008751363614,5,5,15,0.0001,0.001,0.1
20231211-011330,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_4lf_0.0001lr_0.001bbwd_0.1do,val,56.21333333333333,10.911990007598336,5,5,15,0.0001,0.001,0.1
20231211-011330,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_4lf_0.0001lr_0.001bbwd_0.1do,test,44.37555555555556,8.167033703014384,5,5,15,0.0001,0.001,0.1
20231211-011631,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_4lf_0.0001lr_0.001bbwd_0.2do,train,68.30888888888889,11.18687039058746,5,5,15,0.0001,0.001,0.2
20231211-011631,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_4lf_0.0001lr_0.001bbwd_0.2do,val,47.986666666666665,10.849262135688717,5,5,15,0.0001,0.001,0.2
20231211-011631,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_4lf_0.0001lr_0.001bbwd_0.2do,test,41.43111111111111,8.2950718673168,5,5,15,0.0001,0.001,0.2
20231211-011930,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_2lf_0.01lr_0.0bbwd_0.0do,train,85.65333333333334,8.836530239107807,5,5,15,0.01,0.0,0.0
20231211-011930,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_2lf_0.01lr_0.0bbwd_0.0do,val,55.497777777777785,10.985630120107015,5,5,15,0.01,0.0,0.0
20231211-011930,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_2lf_0.01lr_0.0bbwd_0.0do,test,49.968888888888884,8.40135321257648,5,5,15,0.01,0.0,0.0
20231211-012229,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_2lf_0.01lr_0.0bbwd_0.1do,train,79.41111111111113,11.032068854474964,5,5,15,0.01,0.0,0.1
20231211-012229,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_2lf_0.01lr_0.0bbwd_0.1do,val,55.38666666666666,12.044244360781718,5,5,15,0.01,0.0,0.1
20231211-012229,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_2lf_0.01lr_0.0bbwd_0.1do,test,47.04666666666667,8.425756807419603,5,5,15,0.01,0.0,0.1
20231211-012529,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_2lf_0.01lr_0.0bbwd_0.2do,train,88.65111111111112,9.044731363180379,5,5,15,0.01,0.0,0.2
20231211-012529,swissprot,relationnet_5w_5s_fc-conc_sum_7lg_2lf_0.01lr_0.0bbwd_0.2do,val,59.59777777777777,11.027292516611391,5,5,15,0.01,0.0,0.2
